restapi-app2-1,96.20%,79.93MiB / 3.824GiB
restapi-app2-1,94.39%,78.09MiB / 3.824GiB
restapi-app2-1,93.08%,78.57MiB / 3.824GiB
restapi-app2-1,87.99%,79.81MiB / 3.824GiB
restapi-app2-1,99.47%,77.22MiB / 3.824GiB
restapi-app2-1,101.57%,79.68MiB / 3.824GiB
restapi-app2-1,97.53%,78.7MiB / 3.824GiB
restapi-app2-1,96.28%,79.7MiB / 3.824GiB
restapi-app2-1,94.68%,78.97MiB / 3.824GiB
restapi-app2-1,96.82%,82.8MiB / 3.824GiB
restapi-app2-1,101.14%,77.5MiB / 3.824GiB
restapi-app2-1,98.27%,77.66MiB / 3.824GiB
restapi-app2-1,90.35%,80.05MiB / 3.824GiB
restapi-app2-1,96.90%,78.93MiB / 3.824GiB
restapi-app2-1,101.35%,78.13MiB / 3.824GiB
restapi-app2-1,91.54%,78.4MiB / 3.824GiB
restapi-app2-1,101.97%,79.43MiB / 3.824GiB
restapi-app2-1,90.99%,80.17MiB / 3.824GiB
restapi-app2-1,94.51%,80.09MiB / 3.824GiB
restapi-app2-1,96.87%,80.89MiB / 3.824GiB
restapi-app2-1,90.17%,80.71MiB / 3.824GiB
restapi-app2-1,94.93%,79.02MiB / 3.824GiB
restapi-app2-1,94.15%,78.69MiB / 3.824GiB
restapi-app2-1,93.26%,78.45MiB / 3.824GiB
restapi-app2-1,93.99%,81.02MiB / 3.824GiB
restapi-app2-1,93.85%,79.79MiB / 3.824GiB
restapi-app2-1,102.58%,79.34MiB / 3.824GiB
restapi-app2-1,96.42%,78.84MiB / 3.824GiB
restapi-app2-1,92.62%,78.79MiB / 3.824GiB
restapi-app2-1,117.31%,82.25MiB / 3.824GiB
restapi-app2-1,84.53%,79.05MiB / 3.824GiB
restapi-app2-1,94.06%,79.66MiB / 3.824GiB
restapi-app2-1,93.60%,78.81MiB / 3.824GiB
restapi-app2-1,86.92%,78.78MiB / 3.824GiB
restapi-app2-1,98.30%,79.12MiB / 3.824GiB
restapi-app2-1,89.93%,80.82MiB / 3.824GiB
restapi-app2-1,92.51%,78.53MiB / 3.824GiB
restapi-app2-1,97.85%,79.36MiB / 3.824GiB
restapi-app2-1,102.04%,83.82MiB / 3.824GiB
restapi-app2-1,92.67%,80.29MiB / 3.824GiB
restapi-app2-1,94.80%,79.95MiB / 3.824GiB
restapi-app2-1,104.24%,79.1MiB / 3.824GiB
restapi-app2-1,83.38%,78.14MiB / 3.824GiB
restapi-app2-1,94.46%,83.58MiB / 3.824GiB
restapi-app2-1,93.44%,81.54MiB / 3.824GiB
restapi-app2-1,90.12%,78.4MiB / 3.824GiB
restapi-app2-1,96.84%,78.12MiB / 3.824GiB
restapi-app2-1,100.03%,77.52MiB / 3.824GiB
restapi-app2-1,102.46%,77.18MiB / 3.824GiB
restapi-app2-1,88.00%,77.94MiB / 3.824GiB
restapi-app2-1,95.94%,79.82MiB / 3.824GiB
restapi-app2-1,90.70%,76.83MiB / 3.824GiB
restapi-app2-1,87.48%,79.06MiB / 3.824GiB
restapi-app2-1,91.06%,79.23MiB / 3.824GiB
restapi-app2-1,104.21%,80.49MiB / 3.824GiB
restapi-app2-1,95.86%,80.43MiB / 3.824GiB
restapi-app2-1,103.67%,78.68MiB / 3.824GiB
restapi-app2-1,98.91%,79.66MiB / 3.824GiB
restapi-app2-1,95.35%,79MiB / 3.824GiB
restapi-app2-1,87.74%,80.51MiB / 3.824GiB
restapi-app2-1,94.69%,79.36MiB / 3.824GiB
restapi-app2-1,94.78%,79.14MiB / 3.824GiB
restapi-app2-1,91.50%,79.08MiB / 3.824GiB
restapi-app2-1,95.94%,78.52MiB / 3.824GiB
restapi-app2-1,97.91%,78.05MiB / 3.824GiB
restapi-app2-1,94.95%,79.75MiB / 3.824GiB
restapi-app2-1,97.25%,83.46MiB / 3.824GiB
restapi-app2-1,98.09%,78.62MiB / 3.824GiB
restapi-app2-1,102.96%,77.56MiB / 3.824GiB
